;index;Unnamed: 0.1;Unnamed: 0;mode;price;pbeach;ppier;pboat;pcharter;cbeach;cpier;cboat;ccharter;income
0;0;0;0;charter;182.93;157.93;157.93;157.93;182.93;0.0678;0.0503;0.2601;0.5391;7083.3317
1;1;1;1;charter;34.534;15.114;15.114;10.534;34.534;0.1049;0.0451;0.1574;0.4671;1249.9998
2;2;2;2;boat;24.334;161.874;161.874;24.334;59.334;0.5333;0.4522;0.2413;1.0266;3749.9999
3;3;3;3;pier;15.134;15.134;15.134;55.93;84.93;0.0678;0.0789;0.1643;0.5391;2083.3332
4;4;4;4;boat;41.514;106.93;106.93;41.514;71.014;0.0678;0.0503;0.1082;0.324;4583.332
5;5;5;5;charter;63.934;192.474;192.474;28.934;63.934;0.5333;0.4522;0.1665;0.3975;4583.332
6;6;6;6;beach;51.934;51.934;51.934;191.93;220.93;0.0678;0.0789;0.1643;0.5391;8750.001
7;7;7;7;charter;56.714;15.134;15.134;21.714;56.714;0.0678;0.0789;0.0102;0.0209;2083.3332
8;8;8;8;boat;34.914;34.914;34.914;34.914;53.414;0.2537;0.1498;0.0233;0.0219;3749.9999
9;9;9;9;boat;28.314;28.314;28.314;28.314;46.81399999999999;0.2537;0.1498;0.0233;0.0219;2916.6666
10;10;10;10;pier;34.914;34.914;34.914;24.334;48.334;0.1049;0.0451;0.1574;0.4671;3749.9999
11;11;11;11;boat;16.722;312.144;312.144;16.722;51.722;0.5333;0.4522;0.2413;1.0266;7083.3317
12;12;12;12;pier;17.862000000000002;17.862000000000002;17.862000000000002;4.122;28.122;0.1049;0.0451;0.0023;0.0046;1249.9998
13;13;13;13;pier;15.134;15.134;15.134;55.93;84.93;0.0678;0.0789;0.0014;0.0029;2083.3332
14;14;14;14;beach;74.514;74.514;74.514;74.514;93.014;0.2537;0.1498;0.2339;0.6288;8750.001
15;15;15;15;pier;33.534;33.534;33.534;123.93;152.93;0.0678;0.0789;0.1643;0.5391;5416.6667
16;16;16;16;beach;48.114;48.114;48.114;33.534;57.534;0.1049;0.0451;0.1574;0.4671;5416.6667
17;17;17;17;pier;33.462;33.462;33.462;7.722;31.722;0.1049;0.0079;0.0613;0.3087;2916.6666
18;18;18;18;boat;11.322;211.344;211.344;11.322;46.322;0.5333;0.0069;0.0361;0.4216;4583.332
